t   Re(psi(x_0,t))   Im(psi(x_0,t))    Re(psi(x_n,t))   Im(psi(x_n,t))
0.0  0.0  0.0  1.261291800909106e-184  0.0
0.01  -1.028031168167608e-17  -2.063101156752301e-17  3.561753299489417e-17  9.874559941565852e-18
0.02  -4.912784662870707e-17  1.4142199456607758e-17  1.4480239917679172e-17  2.279148776171161e-17
0.03  9.242199108678842e-18  4.5990294414961714e-17  3.258521118907581e-17  5.595069771182606e-17
0.04  4.1090294067032797e-17  -1.23797513224242e-17  -4.3435855401531727e-17  -2.5083615899327675e-17
0.05  -6.367032339886036e-17  1.6061953960060922e-18  -5.224212033954537e-17  -5.183852903873674e-19
0.06  -1.2713796507003594e-16  8.993531634360046e-17  1.0059372642271421e-17  1.7071499622544737e-17
0.07  -2.6689865240677202e-17  7.549100159864958e-17  -7.829248658243407e-17  -3.3789703363678736e-18
0.08  7.398741860194184e-17  5.889042803543149e-17  1.5465668161021459e-16  2.164735593361862e-17
0.09  3.3310970875106356e-17  3.366100459277661e-18  -5.350306936482634e-17  -5.4580218772922987e-17
0.1  1.0897179423858516e-16  -5.688904146770384e-17  2.580087795482637e-18  -1.3612941548449153e-16
0.11  7.669499443256258e-19  1.822426154442586e-17  -2.7550885064538873e-16  -6.880517537113142e-17
0.12  7.722758321498558e-17  1.498613138811172e-16  -2.3294240289324348e-17  -8.564910012703563e-17
0.13  -2.0777044852107053e-16  1.460858174557382e-16  8.708282678239621e-17  -1.1684990033924656e-16
0.14  9.717315000491199e-18  1.4163909899250593e-16  9.294129102857732e-17  -8.896315389236099e-17
0.15  1.6986805921584028e-16  -1.30052690947801e-16  -1.7098280002986037e-16  1.1476523659161472e-17
0.16  -7.974288545129691e-17  1.1014993850001418e-16  -1.9676128820032685e-16  -1.8401212154262353e-16
0.17  1.0137649760586773e-16  -1.3314572147522303e-16  -1.3997431295390834e-17  3.056836442620998e-16
0.18  1.4030279468971546e-16  -1.694806062090366e-16  1.8447185556420745e-16  9.919512610067741e-17
0.19  7.437136591355979e-18  5.312531571797455e-17  -5.4662721003820264e-17  -9.33499728154986e-17
0.2  3.0488467208627916e-17  2.019405968475399e-18  -3.173262643452043e-17  -8.696738825729496e-17
