t   Re(psi(x_0,t))   Im(psi(x_0,t))    Re(psi(x_n,t))   Im(psi(x_n,t))
0.0  4.98421956514629e-27  0.0  5.436971285605379e-138  0.0
0.001  -2.6430650280717166e-17  -5.203692654210255e-17  -1.873773836258129e-17  1.3885400866325378e-17
0.002  -7.037486377756293e-17  -2.2735583187847424e-17  -3.301348334956123e-17  -7.156115544326102e-17
0.003  -5.560646895298228e-17  -1.2023243127438696e-18  -9.272459903889626e-17  -1.142997206819289e-16
0.004  -8.507250124815706e-17  -4.253556224279444e-17  -1.7735875462700193e-16  -5.601988147381159e-17
0.005  -1.5224559475782918e-16  1.3159766431441467e-17  -1.412555391276191e-16  -5.733238256987471e-17
0.006  -1.54367764672398e-16  4.623359772238876e-17  -3.4401237001853277e-16  -2.2920570904472773e-17
0.007  -1.5274089623573493e-16  1.0268076903457023e-18  -2.738376311679547e-16  1.3855566620215033e-16
0.008  -2.3873214167566244e-16  1.0610305957680312e-16  -1.6385650821747777e-16  1.512171429480333e-16
0.009000000000000001  -1.279785758655831e-16  1.823136152669168e-16  -1.8363967229638326e-16  8.706584090317353e-17
0.01  -1.0031768215460594e-16  5.183987893951051e-17  -2.321855064137874e-16  1.9339405249828428e-16
0.011  -2.703206192379197e-16  5.530753998987813e-17  -1.1944742819777327e-16  2.241920169844163e-16
0.012  -2.458767069607073e-16  2.287945883757448e-16  -1.3432148051851148e-16  9.94268878456067e-17
0.013000000000000001  -1.8843082215658867e-16  2.3252607506473695e-16  -1.9828471322176824e-16  8.624911922591553e-17
0.014  -1.7576718326059388e-16  2.450303722380052e-16  -2.9761410510877013e-16  3.421706506976314e-17
0.015  -1.3522982788663504e-16  2.1733299843998023e-16  -3.604072021306891e-16  1.0609838880545437e-16
0.016  -1.8241782383030115e-16  1.6717429503893409e-16  -3.5259583169033374e-16  2.439844775411444e-16
0.017  -2.5963708484349344e-16  1.894244539900502e-16  -3.169248223878617e-16  2.59651849738163e-16
0.018000000000000002  -2.3759919795433695e-16  2.6144387554277284e-16  -3.625227489039121e-16  2.1961174531450074e-16
0.019  -1.9992724006431924e-16  2.0608478197622983e-16  -5.158881963222218e-16  3.661871264219143e-16
0.02  -3.198071277760937e-16  1.1896169422503136e-16  -4.187512862270202e-16  5.696454505863524e-16
0.021  -4.279418454311303e-16  2.344908307241747e-16  -2.688529204600263e-16  5.885841307873922e-16
0.022  -4.107500112325107e-16  3.1538892343963967e-16  -1.6927830148223532e-16  5.317041759492666e-16
0.023  -4.342375978208504e-16  3.354456044171731e-16  -1.2682882220838423e-16  5.400822302124975e-16
0.024  -4.839361030684704e-16  4.3643603213967844e-16  -1.032705210232473e-16  5.248927190082711e-16
0.025  -4.278683345520074e-16  6.615852400225484e-16  -2.159926677382849e-16  4.764762673416057e-16
0.026000000000000002  -3.0551249015573135e-16  7.243008955835822e-16  -3.136188790222128e-16  5.776948142376672e-16
0.027  -2.275500015731668e-16  7.627862876919315e-16  -2.140426017458775e-16  6.840628081334602e-16
0.028  -7.523309875632379e-17  8.364320269762899e-16  -8.246910656756725e-17  6.913428373900627e-16
0.029  1.3689840810810502e-16  7.166574492379543e-16  -8.04549171192028e-17  7.154400529211371e-16
0.03  9.345889981064359e-17  5.031458986182745e-16  1.2844364271969665e-17  8.231263767714676e-16
0.031  -6.027204867587561e-17  5.64979014722072e-16  1.1487124438402706e-16  7.312923937363962e-16
0.032  -6.324275613325564e-17  6.623257140667843e-16  7.195055463415463e-17  7.20755386807006e-16
0.033  -6.012943255784799e-17  7.38590026153672e-16  9.703930268115493e-17  7.452797481908915e-16
0.034  4.532876295356577e-18  7.915077156551658e-16  2.2299346443953323e-16  7.258246269923204e-16
0.035  9.5512515191335e-17  8.086276910897443e-16  1.336777412036588e-16  6.757741282141569e-16
0.036000000000000004  9.947382560452656e-17  7.355469092272235e-16  1.5536441137303148e-16  8.666731935582754e-16
0.037  -4.1521900574470394e-17  9.392259411679112e-16  3.9272096051712325e-16  8.460832013638593e-16
0.038  2.7931368700705085e-16  1.2282218208655448e-15  3.528704623777793e-16  6.195439179809337e-16
0.039  7.9837723674716e-16  1.0993897511119053e-15  1.6554706882693428e-16  6.989030238006107e-16
0.04  8.587205934820494e-16  6.212162421056332e-16  4.024856430009455e-16  9.26079736044167e-16
0.041  6.026888294617057e-16  3.8860461154980624e-16  6.852042801297469e-16  7.723970517070868e-16
0.042  4.357992159537996e-16  4.683365846870615e-16  6.257853169493683e-16  5.125246302245774e-16
0.043000000000000003  4.992592004942603e-16  5.768607431415376e-16  4.567851107505401e-16  5.053707055015939e-16
0.044  6.715965795541025e-16  5.455190902606923e-16  4.3876840318791182e-16  6.78984782713248e-16
0.045  6.386982648855534e-16  3.3504955515740627e-16  6.23871708971809e-16  7.938531128150018e-16
0.046  4.374260843904627e-16  4.231297946550185e-16  8.445118977938378e-16  5.663200127041005e-16
0.047  5.98586004340541e-16  4.582188337720139e-16  7.414832504992335e-16  3.4794413844358753e-16
0.048  5.900951218621565e-16  2.5022525535322937e-16  6.543873545922939e-16  3.563049029977511e-16
0.049  4.084901815451597e-16  3.097239294804985e-16  7.062233765529281e-16  2.5898820192448596e-16
0.05  4.890712429302534e-16  4.974129008302831e-16  5.635146812944979e-16  1.7101536191722636e-16
0.051000000000000004  6.48461678325641e-16  4.0409771854772163e-16  4.319282145470985e-16  2.9684997920961747e-16
0.052000000000000005  5.867700769298166e-16  2.538333297015155e-16  5.886817023475097e-16  4.674936770015617e-16
0.053  4.452784985678866e-16  3.603071770054639e-16  7.531261654491409e-16  3.63441518503521e-16
0.054  6.297148344543995e-16  5.402841474757431e-16  6.667404327488029e-16  2.5809715718276187e-16
0.055  8.923944855193141e-16  4.2539072575242407e-16  6.691640551592281e-16  3.3208821273973864e-16
0.056  8.88077736221108e-16  2.345884308272318e-16  9.035808118290872e-16  3.1183200864560334e-16
0.057  8.234154273679034e-16  1.8167074132573796e-16  9.225020915032667e-16  9.470207051802e-17
0.058  8.481760956229734e-16  1.0774087121537879e-16  7.123572991443475e-16  3.854448880722187e-18
0.059000000000000004  7.008111061751336e-16  -1.4719732449308924e-17  7.300206131922076e-16  9.363473994938754e-17
0.06  6.116722598928597e-16  1.833700192314694e-16  6.975431616176325e-16  -1.025482003462686e-16
0.061  8.97981562959114e-16  1.369587020665734e-16  3.375416875126084e-16  -1.761057818638335e-17
0.062  8.157725317273028e-16  -1.7566793104245497e-16  3.9975902431996042e-16  4.132724146680726e-16
0.063  6.037463348363129e-16  -1.8090177241734965e-16  8.108375273934177e-16  4.554360384312141e-16
0.064  5.172951665954729e-16  -8.709183936190973e-17  1.0713573208209455e-15  2.0778328575203096e-16
0.065  5.372108835700606e-16  1.8001413481760225e-17  1.0918816426516463e-15  -7.924077148028636e-17
0.066  7.0735588606637465e-16  1.030725379673491e-16  1.0559436676103783e-15  -3.6981877608367917e-16
0.067  9.242977915918334e-16  -6.898346379162881e-17  8.196597524458292e-16  -5.589868759766318e-16
0.068  8.770368354740718e-16  -4.611643505954052e-16  5.103693485698034e-16  -5.384342798860042e-16
0.069  5.068219767954107e-16  -5.137617045363641e-16  4.560986027746951e-16  -4.851503514843544e-16
0.07  4.531972644590788e-16  -3.813599679890816e-16  3.180023367748173e-16  -4.677310147009853e-16
0.07100000000000001  4.495178820517788e-16  -4.714905186372216e-16  3.223013573801739e-16  -3.1165516886405696e-16
0.07200000000000001  2.548601373918612e-16  -4.3402918069408166e-16  5.21458430465148e-16  -3.8540070601888415e-16
0.073  2.8662688510165306e-16  -1.6621989681765673e-16  2.6969600186145935e-16  -5.713146583445089e-16
0.074  5.521719336505087e-16  -2.5345159877245775e-16  5.501764144560652e-17  -2.5711905905518814e-16
0.075  3.5733536813802927e-16  -5.180762510144611e-16  3.8624560664395735e-16  -8.112763547227692e-17
0.076  2.054441108551601e-16  -4.111778595865936e-16  5.346544820249243e-16  -4.927650187536555e-16
0.077  3.9408858183627656e-16  -4.2582353045175233e-16  1.1632044276547635e-16  -6.793585099542407e-16
0.078  2.0130397958940673e-16  -6.401830679092161e-16  5.00484349719773e-17  -4.107097994565417e-16
0.079  -5.603431730706514e-17  -5.220353586075437e-16  1.5253512775739767e-16  -4.794860580847655e-16
0.08  -4.977796505284817e-19  -3.949579752714912e-16  -2.0862894466352205e-17  -5.52078663809274e-16
0.081  -5.093951246752079e-17  -3.5470309860845125e-16  -1.2224408242481075e-16  -3.6614412335463215e-16
0.082  -6.625407396538803e-17  -4.9380372507194234e-17  -8.070858424944038e-17  -4.0302104174896626e-16
0.083  3.7042685538810695e-16  1.5261080453606884e-17  -3.680121838543688e-16  -3.6062857268095273e-16
0.084  4.4276110545109184e-16  -5.519465155665274e-16  -3.7878871777349785e-16  1.1473809137320845e-16
0.085  -1.7280198285348656e-16  -7.030385860631413e-16  1.2956228368268242e-16  2.2703428958457074e-16
0.08600000000000001  -3.342770066663407e-16  -2.354940289969806e-16  1.583004005110251e-16  -2.0476145880050298e-16
0.08700000000000001  -1.7665412835804831e-16  -1.5946064204434695e-16  -1.8866684736290958e-16  -1.027082912005866e-16
0.088  -3.1273442125508998e-16  -1.7560756618535374e-16  1.7223547129334637e-17  1.2985963341327208e-16
0.089  -2.691528475446282e-16  1.264427699702827e-16  1.3731558327567296e-16  -7.593162996879839e-17
0.09  -9.833069384019654e-18  9.936300858081495e-17  8.036149068325079e-18  -1.0015671489733143e-16
0.091  7.70072643037463e-17  1.5086114536235988e-17  2.777141303885101e-17  -1.3775300652644698e-16
0.092  1.6607590393706094e-16  -9.966469106905547e-17  -2.4153996326604057e-16  -1.7606941205251673e-16
0.093  -2.815977477156018e-17  -4.3462869073537176e-16  -3.737392740737512e-16  2.0877081223045073e-16
0.094  -5.925008718976988e-16  -3.091567692385517e-16  -8.195781928374578e-17  4.404598247322219e-16
0.095  -6.731654236300303e-16  2.666376926972589e-16  8.606699384784817e-17  2.4564124107694246e-16
0.096  -3.147991175139508e-16  5.393440321358584e-16  3.579357042300482e-18  1.256402788707075e-16
0.097  -4.1312932742674404e-17  4.339924252545202e-16  -8.68578156469566e-17  2.0965060936612976e-16
0.098  3.650693972186255e-17  2.988668059312695e-16  -1.0806480826586037e-16  3.044433021387061e-16
0.099  -3.586681930582008e-17  2.271660678239999e-16  -6.094106192644967e-17  4.478273855240732e-16
0.1  -1.0714273793665684e-16  3.5247561872044346e-16  1.2173235095610938e-16  5.70341955500555e-16
0.101  2.865562695449322e-17  5.318338753721109e-16  3.186986017474512e-16  4.848547098016389e-16
0.10200000000000001  3.7354265713613733e-16  4.7435040907089e-16  4.249827803865183e-16  2.450493950060894e-16
0.10300000000000001  4.128041773182294e-16  7.516509492747361e-17  3.75310073113545e-16  7.686509385626664e-17
0.10400000000000001  1.0732073273167771e-16  -1.7799796737876525e-16  2.73586828416013e-16  -2.0614289153113425e-17
0.105  -3.0014043830302717e-16  5.307902959044868e-18  2.0090956924866733e-16  -1.8206690518388728e-16
0.106  -2.7806414385922743e-16  5.460912068478847e-16  -9.366792115093193e-17  -2.8060565625411636e-16
0.107  1.7998247752055194e-16  6.662859230699214e-16  -5.111676237559185e-16  9.375719115874597e-18
0.108  3.168029691093159e-16  2.7527115584435463e-16  -4.235038233019864e-16  5.577993962686589e-16
0.109  2.617746744988259e-17  2.1595240397970182e-16  -3.955638671033703e-17  6.883511333076028e-16
0.11  -5.599260552225825e-17  4.57161879102434e-16  6.46362509001207e-17  5.62252460169585e-16
