t   Re(psi(x_0,t))   Im(psi(x_0,t))    Re(psi(x_n,t))   Im(psi(x_n,t))
0.26  -1.6355386404575964e-17  2.62203658953076e-16  -7.368092493864277e-17  -4.210599756334906e-17
0.27  9.642476422224372e-17  9.398451846856305e-17  -4.386260152662147e-18  4.728700540795718e-17
0.28  1.8189534270186416e-16  -1.4883602561486183e-16  -1.515935884042687e-16  1.678761461538142e-17
0.29  1.452233575093041e-16  9.114653847224884e-17  2.2628159748811523e-16  2.0116667023531206e-16
0.3  4.266724414755105e-18  -1.156426166533435e-16  -1.7000753891743873e-16  -7.212707541947481e-17
0.31  1.0235768204916397e-16  1.5305568527238162e-16  -2.1858489967907807e-17  -3.7442334269590223e-16
0.32  2.807628957487005e-16  2.4057662238014903e-16  -2.318487263191604e-16  -1.7190071745034994e-16
0.33  1.6325596328178497e-16  -1.3267442018977867e-16  4.956817297447981e-17  2.7420360317224423e-16
0.34  -1.7202277411819669e-16  -5.459935474196235e-16  3.5389666963302876e-16  2.3884479719943224e-20
0.35000000000000003  -1.0986978796140509e-15  1.1175061194546863e-16  6.843034502009333e-16  -4.238994897098397e-16
0.36  -2.0796409875794503e-15  7.733214649834069e-16  9.036084717737973e-16  -2.1258506894252512e-15
0.37  -3.4515149491943118e-15  9.621020645580005e-16  1.553845883296513e-15  -2.775997823411458e-15
0.38  -2.8363738675796525e-15  -2.21574093969839e-16  2.4504347685505625e-15  -2.0065491406321304e-15
0.39  -1.251804644209036e-15  -1.3036074605005995e-15  1.9691176875178823e-15  -2.0304175867822847e-16
0.4  4.470224283218968e-16  -6.966883758701875e-16  4.513010489461382e-16  9.988656622487446e-16
0.41000000000000003  4.43000146345874e-16  4.6911062978734724e-17  -5.536430933559866e-16  6.429342045721824e-17
0.42  -2.5196036664253276e-17  2.321309453878294e-16  9.723844405111092e-17  3.2438557219282377e-16
0.43  2.779634976247938e-17  6.017383671925277e-17  1.384800188926983e-16  -3.1719263148954924e-17
0.44  -1.5128687946091814e-17  3.729423516999407e-17  1.538913041089332e-16  -3.3510982176294986e-17
0.45  -2.8749001052543186e-16  3.6083013041345676e-17  2.207217929178032e-16  -2.340129101642857e-16
0.46  -1.0507697343934315e-17  3.5161997348626885e-16  -3.562606559089838e-16  -2.7557097781418657e-16
0.47000000000000003  -3.215124926549827e-16  2.330837202423661e-16  -2.5471218159549337e-16  -1.2056962937777122e-16
0.48  -2.631483662261482e-18  1.9545260251798938e-16  -3.2367506554166963e-16  2.1136924937869353e-16
0.49  -1.4939913124822862e-16  2.3044333583191264e-16  1.5541083475108396e-16  -1.711251763383451e-16
0.5  4.817108284431131e-16  -1.8579799267284233e-17  -1.5133465865651553e-16  -8.461143985512219e-17
0.51  2.7516962145143875e-16  7.615441241013021e-18  2.4080637212679895e-16  9.821053313827136e-17
0.52  3.129559741736279e-17  -3.912783442962207e-16  -2.4236250286868144e-16  -2.2675600133625394e-16
0.53  -4.6648583193891235e-17  -5.508105441883219e-16  3.424987342246235e-16  -5.993656971310784e-17
0.54  -7.189380982292762e-17  1.6607040192679976e-17  -3.1450163611861106e-17  2.9107730099574405e-16
0.55  1.094049315149862e-16  8.018704868343774e-17  6.397752676575517e-17  4.809556335441082e-17
0.56  5.305683481698768e-17  1.2286933335209687e-16  2.244331548313934e-16  3.012347197775445e-16
0.5700000000000001  -1.810973311456851e-16  -2.9366506356989985e-17  -5.866944496069921e-17  -6.8281695514991424e-18
0.58  2.465922259024359e-16  -3.570557235098972e-16  1.9000787932609683e-16  -1.4997055416157846e-16
0.59  -6.750899667903838e-17  4.428720852920922e-17  2.9632144352478745e-17  -5.663792486903415e-17
0.6  -2.9910103149789185e-17  2.1575499651159371e-16  -9.623283381191758e-17  2.768529342350898e-16
0.61  -4.72284366925498e-17  -2.3843318786862364e-16  -1.7568978417596062e-16  1.8114963850414697e-16
0.62  -5.573220439784447e-17  3.5246419612759136e-17  1.8796805468759166e-16  -2.6878533460464133e-17
0.63  -1.598974920352433e-16  -2.1569309119225064e-16  -2.425173813128979e-16  -2.4074697886094123e-16
0.64  -5.573093286238848e-17  8.775584303057962e-17  6.032147493128767e-17  2.7057534314906026e-16
0.65  4.2017863550959034e-16  1.2211542561887692e-16  -1.3336008826621482e-16  -2.9981757239438834e-16
0.66  3.833260205008251e-16  2.7128978221721196e-18  4.889434148745874e-17  -2.265758910018107e-16
0.67  5.446140211640121e-18  7.349873368347772e-17  7.434312216882117e-17  -2.4307141529883004e-16
0.68  -1.1143981381329736e-16  -9.715048027106795e-17  -7.766576990467389e-17  2.651698887860032e-16
0.6900000000000001  -4.764440824029492e-17  3.333679381208114e-16  -1.5089622277159252e-16  -2.3652559457788923e-16
