t   Re(psi(x_0,t))   Im(psi(x_0,t))    Re(psi(x_n,t))   Im(psi(x_n,t))
0.0  -3.693709322413333e-185  7.539924144938675e-186  -0.0  0.0
0.01  -1.734723475976807e-18  1.431146867680866e-17  3.2415766565047e-18  1.5269973864333708e-17
0.02  2.42861286636753e-17  1.6479873021779667e-17  -1.3908023434591346e-17  2.290938847803283e-17
0.03  1.9081958235744878e-17  4.336808689942018e-18  6.219339298084633e-19  3.623864277699334e-17
0.04  0.0  3.469446951953614e-18  -2.2068244707773086e-17  1.312482487066115e-17
0.05  8.673617379884035e-19  -1.0842021724855044e-17  -5.4617798426675783e-17  2.98982546968639e-17
0.06  -3.382710778154774e-17  -1.7780915628762273e-17  -1.1817408927127806e-17  5.800382910262009e-17
0.07  -3.946495907847236e-17  2.2985086056692694e-17  4.684266141716742e-18  2.991447548572504e-17
0.08  -3.0791341698588326e-17  1.8214596497756474e-17  -3.73841575571911e-17  4.633548611862676e-17
0.09  -4.85722573273506e-17  3.642919299551295e-17  -2.3433117955168304e-17  5.421612900471651e-17
0.1  -2.190088388420719e-17  6.418476861114186e-17  -2.4371876640662357e-17  6.806601866891818e-17
0.11  -3.404394821604484e-17  5.724587470723463e-17  -1.7812113888592607e-17  6.093613289343655e-17
0.12  -3.469446951953614e-18  8.370040771588094e-17  -5.4450326148196384e-17  7.640872901938222e-17
0.13  2.211772431870429e-17  1.7780915628762273e-17  -3.8132340502937543e-17  1.3502776955860763e-16
0.14  -4.0766001685454967e-17  6.071532165918825e-18  4.757854347452932e-17  9.727602610827207e-17
0.15  -3.729655473350135e-17  7.41594285980085e-17  3.410592711996194e-18  1.6324497153889463e-17
0.16  3.2959746043559335e-17  6.288372600415926e-17  -7.201558120190842e-17  5.832475258792019e-17
0.17  -1.1275702593849246e-17  -7.806255641895632e-18  -2.1938289670255382e-17  1.544231470002003e-16
0.18  -8.847089727481716e-17  3.5561831257524545e-17  5.008133721568543e-17  1.2921131420253355e-16
0.19  -4.380176776841438e-17  1.249000902703301e-16  1.5931760175666626e-17  8.1538839375669e-17
0.2  -1.0842021724855044e-18  7.806255641895632e-17  -3.831857372299163e-18  1.6671799660114392e-16
0.21  -3.3176586478056436e-17  7.719519468096792e-17  8.681567328700362e-17  1.4336128754382062e-16
0.22  -2.8189256484623115e-18  1.1535911115245767e-16  6.696060637100919e-17  8.053340560787642e-17
0.23  -1.0842021724855044e-18  7.849623728795052e-17  2.6191293630600085e-17  1.0817013514426798e-16
0.24  -4.163336342344337e-17  8.456776945386935e-17  2.0661949331379116e-17  1.1400574215975012e-16
0.25  -5.854691731421724e-17  1.0148132334464322e-16  2.316581050610072e-17  1.621127282415463e-16
0.26  -6.158268339717665e-17  1.5482407023093003e-16  8.176838412499631e-17  1.871059865724269e-16
0.27  -2.5587171270657905e-17  2.190088388420719e-16  1.0443914572036484e-16  1.4018515153624005e-16
0.28  7.155734338404329e-17  1.927711462679227e-16  6.986020152310727e-17  1.4440083249200962e-16
0.29  7.914675859144182e-17  1.4224732503009818e-16  8.887520263704531e-17  1.7905242773466993e-16
0.3  1.4094628242311558e-17  1.249000902703301e-16  1.215261151185036e-16  1.774269908506981e-16
0.31  -1.7997756063259374e-17  2.224782857940255e-16  1.4400486044454036e-16  1.663108548543668e-16
0.32  7.979727989493313e-17  2.992397996059992e-16  1.2540241725569765e-16  1.751012619877218e-16
0.33  1.3270634591222574e-16  2.6020852139652106e-16  1.669623809108837e-16  1.9996636416324324e-16
0.34  1.48318857196017e-16  2.224782857940255e-16  2.0473700847280867e-16  1.8812664698238455e-16
0.35000000000000003  1.478851763270228e-16  2.0838365755171395e-16  1.9962242748255733e-16  1.7595636862488258e-16
0.36  1.3834419720915037e-16  2.137504583055172e-16  2.3118401474211033e-16  1.483407274895214e-16
