t   Re(psi(x_0,t))   Im(psi(x_0,t))    Re(psi(x_n,t))   Im(psi(x_n,t))
0.0  0.0  0.0  0.0  0.0
0.01  -1.3010426069826053e-18  1.8241701552068612e-17  1.6921978221249536e-17  -1.550598300470262e-18
0.02  5.854691731421724e-18  -2.2307459698889254e-17  6.980071239143454e-18  8.203168329430677e-18
0.03  1.734723475976807e-18  2.2280354644577116e-17  -2.1279303291382844e-18  -3.101128068542098e-17
0.04  1.3010426069826053e-18  -9.974659986866641e-18  -6.61424514690281e-18  -6.053623282373223e-18
0.05  -1.431146867680866e-17  -1.5178830414797062e-17  4.81776232509845e-18  -5.158820344551255e-18
0.06  2.710505431213761e-17  -2.45029690981724e-17  -3.504053713703344e-17  -8.258582552917301e-19
0.07  -3.187554387107383e-17  -1.0516761073109393e-17  -3.555054287233905e-18  -3.555876706307278e-18
0.08  -2.710505431213761e-17  -1.0950441942103595e-17  -1.1992129221840027e-17  1.763876086648349e-18
0.09  -2.905661822261152e-17  2.190088388420719e-17  7.569539855427362e-18  -1.0157675778270227e-17
0.1  9.432558900623889e-18  1.3877787807814457e-17  9.951969686360475e-18  -2.219358815137765e-17
0.11  1.4203048459560108e-17  -3.5344990823027445e-17  -2.53383174649616e-17  8.798460260068455e-19
0.12  -3.4640259410911867e-17  -4.87890977618477e-17  1.1908064135731273e-17  -1.1467536350302497e-18
0.13  -4.830120678422922e-17  -4.662069341687669e-17  -2.5814977367116983e-17  1.2964277337103119e-17
0.14  -4.889751797909625e-17  9.75781955236954e-18  4.153919839743186e-17  -6.351382189955519e-17
0.15  -5.594483210025203e-17  4.7704895589362195e-18  6.4384725100264626e-18  -6.178750670359977e-17
0.16  -4.119968255444917e-18  -4.228388472693467e-17  -1.0102912906201613e-16  -1.8321330739970883e-17
0.17  -7.047314121155779e-18  6.635317295611287e-17  -9.861451500225478e-17  -4.7447014369053426e-17
0.18  -5.659535340374333e-17  -2.8189256484623115e-17  4.947193122160716e-18  7.884630089866479e-17
0.19  -3.903127820947816e-17  -2.233456475320139e-17  2.379407325818762e-17  3.435090822052079e-17
0.2  4.391018798566293e-17  -2.6020852139652106e-18  -3.0304891359404187e-18  -3.865736434506579e-17
0.21  -8.272462576064399e-17  -9.75781955236954e-18  3.937098127962262e-17  -9.795096513882667e-17
0.22  -1.8756697583999227e-17  4.4885969940899884e-17  -7.882878741714551e-17  -7.886767214376586e-17
0.23  2.6454533008646308e-17  -5.551115123125783e-17  -8.11301902553998e-17  3.1404919332314815e-17
0.24  -8.261620554339544e-17  -3.491130995403324e-17  1.6778998902071706e-17  6.519614475559774e-17
0.25  1.8648277366750676e-17  7.827939685345342e-17  2.6753500483851043e-18  -1.2594086957071025e-16
0.26  -4.141652298894627e-17  -6.938893903907228e-17  -5.041080582547807e-17  1.9835965210540546e-17
0.27  3.664603343001005e-17  1.3552527156068805e-16  -7.901101825292187e-17  -1.4564937599407797e-16
0.28  -2.5804011705155006e-17  -1.3379054808471125e-16  1.415183315834358e-17  5.891629233521096e-17
0.29  -1.474514954580286e-17  -1.2457482961858446e-16  -1.5334320186750085e-16  4.317334128626498e-17
0.3  -2.3201926491189795e-17  1.7444812955291766e-16  -1.2378922062207651e-17  -1.2476933783090385e-16
0.31  -5.4643789493269423e-17  -4.0657581468206416e-17  3.64983134482688e-17  7.330561773281494e-17
0.32  6.591949208711867e-17  -2.992397996059992e-17  -2.6112663604176358e-17  -8.458002827054738e-17
0.33  6.657001339060997e-17  -1.4625887306829455e-16  -2.0148660378735815e-16  3.991932277150284e-17
0.34  -9.519295074422729e-17  -4.423544863740858e-17  -9.927622568128966e-17  -1.169366703120494e-17
0.35000000000000003  -2.740863092043355e-16  6.895525817007808e-17  1.1380831955748816e-16  1.0979772443135745e-16
0.36  2.688821387764051e-17  4.705437428587089e-17  1.3557970004499404e-17  1.9665027923366157e-17
0.37  9.128982292327947e-17  1.1926223897340549e-17  -6.720739906597393e-17  4.376235426658745e-18
0.38  -4.683753385137379e-17  2.7972416050126014e-17  -2.069960587654338e-17  -3.6539399922884614e-17
0.39  3.0357660829594124e-18  8.890457814381136e-17  -2.292091669349328e-17  -1.1126258188685006e-16
0.4  -1.1557595158695477e-16  -1.6989448042847854e-16  -9.909422568060299e-17  2.62669205047854e-16
0.41000000000000003  5.551115123125783e-17  1.496198998029996e-16  4.3622487951172086e-17  -3.5812023614319784e-18
0.42  -6.461844948013606e-17  6.581107186987012e-17  -9.508738926317572e-19  -7.131869185115439e-17
0.43  -1.1492543028346347e-17  1.496198998029996e-16  -1.4717197458543468e-19  -3.784670263274302e-17
0.44  3.5561831257524545e-17  -8.250778532614689e-17  -5.07780370011192e-18  2.0123120546598023e-17
0.45  1.695692197767329e-16  -3.209238430557093e-17  -2.2149922158611795e-16  9.230329784466924e-18
0.46  -1.3942839938163587e-16  1.5504091066542713e-17  -8.932068307915004e-18  -5.1920049172254814e-17
0.47000000000000003  -9.475926987523309e-17  -9.053088140253962e-17  -1.1023890286542383e-16  2.684378699955702e-16
0.48  -7.48099499014998e-17  1.5720931501039814e-16  2.8040602202379986e-17  3.8867906729776486e-17
0.49  -3.122502256758253e-17  2.5977484052752686e-16  1.2555082333205823e-16  3.885191898289706e-17
0.5  2.3830763751231387e-16  -3.187554387107383e-17  -9.274841365845138e-17  8.615637974644479e-17
0.51  8.304988641238964e-17  -2.5045070184415152e-17  3.0768260050775646e-17  -2.2960733859459133e-17
0.52  -1.1514227071796057e-16  -1.1600963245594897e-16  1.1012021237368982e-16  6.829245488885159e-17
0.53  -8.239936510889834e-17  1.218643241873707e-16  -4.705268021997638e-18  -1.6278025070448968e-16
0.54  -2.6020852139652106e-18  5.594483210025203e-17  -1.295486070848617e-16  1.0347481538600621e-16
0.55  1.5764299587939234e-16  1.8344700758454735e-16  -1.2396496589656136e-16  1.3134939913072435e-17
0.56  -1.1058862159352145e-17  4.2717565595928875e-17  1.593099567195888e-16  7.028171176547832e-17
0.5700000000000001  1.48318857196017e-16  -4.119968255444917e-17  -1.3408531555035574e-17  2.0159384144652348e-17
0.58  1.5829351718288365e-16  -1.0473392986209973e-16  -5.717133580787626e-17  4.0188325215427534e-17
0.59  1.691355389077387e-17  -3.9898639947466563e-17  1.3655526362454928e-16  -2.5626134786231602e-17
0.6  -1.2576745200831851e-17  -3.7513395167998453e-17  1.311240883667547e-16  -1.202871488395832e-16
0.61  1.2771901591879242e-16  -2.0773313624822265e-16  -1.017540679536591e-16  7.257378292074845e-18
0.62  -8.673617379884035e-18  2.168404344971009e-18  -8.509631801295603e-17  -8.461520329891559e-17
0.63  -9.367506770274758e-17  -3.252606517456513e-17  3.030175665507534e-17  1.3652815857023715e-16
0.64  5.442694905877232e-17  6.591949208711867e-17  -4.089813882522664e-17  -2.5031517657259084e-17
0.65  -6.483528991463317e-17  1.0169816377914032e-16  1.9419754975109893e-16  2.411333394243542e-16
