t   error=Max(Abs(psi_num(x,t)-psi_exact(x,t)))
0.0  0.0
0.1  4.9054017111980905e-15
0.2  3.9907282459707876e-15
0.30000000000000004  4.1291855780801535e-15
0.4  3.914575627543819e-15
0.5  3.7064087335748214e-15
0.6000000000000001  3.559295803701478e-15
0.7000000000000001  3.3464753757681974e-15
0.8  3.1130819905933363e-15
0.9  3.2364715017335313e-15
1.0  3.0028659643116007e-15
1.1  3.0562657329293366e-15
1.2000000000000002  2.8781608497091297e-15
1.3  2.7606683929673932e-15
1.4000000000000001  2.644365035709173e-15
1.5  2.53490055321746e-15
1.6  2.5836550054614797e-15
1.7000000000000002  2.4707529509694454e-15
1.8  2.5775726040506885e-15
1.9000000000000001  2.4312680200490657e-15
2.0  2.51141951391514e-15
2.1  2.4927535723715205e-15
2.2  2.4099548727191467e-15
2.3000000000000003  2.4538189375200965e-15
2.4000000000000004  2.5866350006912953e-15
2.5  2.2971826326221925e-15
2.6  2.4633757465671584e-15
2.7  2.363791013320816e-15
2.8000000000000003  2.3063864607644455e-15
2.9000000000000004  2.365094275177691e-15
3.0  2.3586115925184735e-15
3.1  2.2837290315185457e-15
3.2  2.4895935200903e-15
3.3000000000000003  2.330487200441276e-15
3.4000000000000004  2.3328161159310513e-15
3.5  2.159392813249898e-15
3.6  2.1884703757881164e-15
3.7  2.322571243521759e-15
3.8000000000000003  2.1875901640420228e-15
3.9000000000000004  2.301749925834038e-15
4.0  2.1637287346042628e-15
4.1000000000000005  2.264492803137637e-15
4.2  2.1190596968698668e-15
4.3  2.079087616102631e-15
4.4  2.036018568751053e-15
4.5  2.0763995091874485e-15
4.6000000000000005  2.1298222456381794e-15
4.7  2.026014434912179e-15
4.800000000000001  2.1138016631127878e-15
4.9  2.03480032010325e-15
5.0  1.9900960624145538e-15
5.1000000000000005  2.282041754574856e-15
5.2  2.0675691651817886e-15
5.300000000000001  2.063314843175414e-15
5.4  2.1072492285958164e-15
5.5  1.9694849723327427e-15
5.6000000000000005  2.1960256329892053e-15
5.7  1.9806987264512006e-15
5.800000000000001  2.082408188320028e-15
5.9  1.961683109444575e-15
6.0  2.049030814498448e-15
6.1000000000000005  2.280184307872454e-15
6.2  2.0539125955565396e-15
6.300000000000001  2.1985236822533084e-15
6.4  2.089609621416101e-15
6.5  2.0471501066083617e-15
6.6000000000000005  2.1474279170302312e-15
6.7  2.0139534410903143e-15
6.800000000000001  2.190347132476568e-15
6.9  2.047726256892874e-15
7.0  2.1814656395755064e-15
7.1000000000000005  2.383143892635004e-15
7.2  2.445721757271203e-15
7.300000000000001  2.4140969350288684e-15
7.4  2.7182402821755164e-15
7.5  2.804446489754111e-15
7.6000000000000005  2.4670085563812103e-15
7.7  3.0299377648567433e-15
7.800000000000001  2.791618003097329e-15
7.9  2.668805964817792e-15
8.0  2.7798164283862183e-15
