t   Re(psi(x_0,t))   Im(psi(x_0,t))    Re(psi(x_n,t))   Im(psi(x_n,t))
0.0  0.0  0.0  0.0  0.0
0.001  -1.0191500421363742e-17  -2.2039797287556895e-18  1.3821576191910855e-17  4.191983429480699e-18
0.002  -8.239936510889834e-18  7.894347068410079e-19  -3.460325112735522e-18  -3.482201599189287e-18
0.003  -4.553649124439119e-18  3.876022766635678e-18  -1.4452637076290173e-17  5.809112461457589e-18
0.004  -1.6046192152785466e-17  -7.921452122722217e-18  -3.868848955531607e-18  1.1088461713722446e-17
0.005  -1.5178830414797062e-17  -6.322253918306098e-18  6.6559138831606475e-18  -6.063930392649231e-18
0.006  1.3010426069826053e-18  2.0057740190981832e-18  1.2151861077765899e-17  1.2135453755233763e-17
0.007  -2.8189256484623115e-18  1.4040418133687282e-17  1.6723872049530936e-17  -7.112317094600642e-18
0.008  5.204170427930421e-18  3.2824220771998647e-17  4.325532757702151e-18  -4.174621703796952e-18
0.009000000000000001  1.3877787807814457e-17  2.5560066216345767e-17  1.128793723488141e-17  -1.573345465604573e-17
0.01  9.974659986866641e-18  4.354426975244907e-17  8.551721232081021e-18  1.0297631928408173e-17
0.011  2.7972416050126014e-17  5.1011712215442984e-17  7.775619211376838e-18  1.3871362396447528e-18
0.012  3.426078865054194e-17  5.3586692375096057e-17  -4.579576567595839e-18  2.4195514766038743e-18
0.013000000000000001  4.141652298894627e-17  3.553472620321241e-17  -1.2486309210034892e-17  2.0829416608808543e-17
0.014  5.746271514173174e-17  1.5910666881224778e-17  -2.246591072056655e-19  2.470003492628862e-17
0.015  6.526897078362737e-17  2.0491421059976034e-17  2.3556130276579208e-18  3.488177797765327e-17
0.016  7.19910242530375e-17  1.8133281334820062e-17  7.313018046678599e-18  5.734279920292286e-17
0.017  5.2258544713801314e-17  3.198396408832238e-18  2.341719362331506e-17  7.519525758108286e-17
0.018000000000000002  5.334274688628682e-17  3.469446951953614e-18  5.4853611763134726e-17  1.0436806863649348e-16
0.019  5.0306980803327406e-17  -1.1140177322288558e-17  7.47951112991305e-17  1.1472477820006904e-16
0.02  4.185020385794047e-17  8.131516293641283e-19  1.1410070908162775e-16  8.615152436750134e-17
0.021  3.165870343657673e-17  1.5341460740669888e-17  1.5028068638234978e-16  7.67289998721037e-17
0.022  2.970713952610282e-17  2.6183482465524932e-17  1.5434192127374423e-16  4.7131884534311835e-17
0.023  2.8189256484623115e-17  5.957690937807847e-17  1.594480363822344e-16  1.752551497124536e-17
0.024  3.968179951296946e-17  6.678685382510707e-17  1.5202530962779125e-16  -3.0961269022468595e-17
0.025  6.722053469410127e-17  8.077306185017008e-17  1.2953169273332972e-16  -7.810459079893327e-17
0.026000000000000002  1.0321604682062002e-16  6.662422349923425e-17  1.2746875198906377e-16  -8.928585177986927e-17
0.027  1.2620113287731272e-16  4.868067754459915e-17  1.0496245667359482e-16  -7.796893896066092e-17
0.028  1.468009741545373e-16  1.8648277366750676e-17  7.999154934488066e-17  -7.527689540100371e-17
0.029  1.481020167615199e-16  1.0299920638612292e-18  6.690023309110207e-17  -5.286314721816175e-17
0.03  1.454999315475547e-16  -5.095750210681871e-18  6.062553170008476e-17  -3.074206647195036e-17
0.031  1.470178145890344e-16  -1.85940672581264e-17  5.950675135043269e-17  -2.4515012783267687e-17
0.032  1.4029576111962427e-16  -1.8431436932253575e-17  7.67410341790186e-17  -5.595273947192542e-18
0.033  1.3422422895370545e-16  -8.998878031629687e-18  8.685015310588757e-17  -8.479866845618694e-18
0.034  1.3769367590565906e-16  -7.047314121155779e-19  8.576731184304049e-17  4.232580514177961e-18
0.035  1.3986208025063007e-16  2.4936649967166602e-18  1.1048464193080345e-16  -8.536890909595775e-18
0.036000000000000004  1.3162214373974024e-16  7.914675859144182e-18  1.0156372372653803e-16  -9.68431176110969e-18
0.037  1.3834419720915037e-16  2.667137344314341e-17  9.558215119070298e-17  -1.596336695386938e-17
0.038  1.5720931501039814e-16  3.404394821604484e-17  7.162128654484912e-17  -2.022938523295225e-17
0.039  1.8127860323957634e-16  2.1033522146218786e-17  5.902796908902191e-17  -7.854916722471695e-18
0.04  1.8800065670898647e-16  7.37257477290143e-18  4.648433602989255e-17  -1.962495038129987e-17
0.041  2.0404684886177193e-16  -2.2442984970449942e-17  3.017285190287739e-17  -9.820160503910739e-18
